hub_code,hub_name,hub_type_code,city_area_id,address,latitude,longitude,status_code
PEK_AIR_01,北京大兴国际机场,airport,2,北京市大兴区礼贤镇航站楼,39.509800,116.410500,active
PEK_AIR_02,北京首都国际机场,airport,2,北京市顺义区首都机场路,40.079900,116.603100,active
PEK_RAIL_01,北京丰台站,railway_station,2,北京市丰台区正阳大街4号,39.858400,116.305800,active
PEK_RAIL_02,北京南站,railway_station,2,北京市丰台区永外车站路12号,39.865200,116.378000,active
PEK_RAIL_03,北京西站,railway_station,2,北京市丰台区莲花池东路118号,39.894200,116.321100,active
PEK_BUS_01,北京六里桥客运主枢纽,bus_station,2,北京市丰台区六里桥南里甲1号,39.887700,116.302600,active
PEK_BUS_02,北京新发地长途客运站,bus_station,2,北京市丰台区京开路新发地桥西侧,39.816500,116.346500,active
PEK_BUS_03,北京赵公口长途客运站,bus_station,2,北京市丰台区南三环中路34号,39.845100,116.384100,active
TSN_AIR_01,天津滨海国际机场,airport,20,天津市东丽区机场大道1号,39.124400,117.346100,active
TSN_RAIL_01,天津站,railway_station,20,天津市河北区新纬路1号,39.142200,117.210700,active
TSN_RAIL_02,天津西站,railway_station,20,天津市红桥区西站前街1号,39.163600,117.163300,active
TSN_BUS_01,天津西青客运站,bus_station,20,天津市西青区西青道与柳口路交口附近,39.138500,117.008000,active
TSN_BUS_02,天津通莎客运站,bus_station,20,天津市河北区真理道与王串场一号路交口,39.153100,117.230400,active
SJW_AIR_01,石家庄正定国际机场,airport,38,石家庄市正定县新城铺镇迎宾路,38.281900,114.696300,active
SJW_RAIL_01,石家庄站,railway_station,38,石家庄市桥西区京广西街,38.028700,114.489200,active
SJW_BUS_01,石家庄客运总站,bus_station,38,石家庄市桥西区站前街81号,38.041200,114.484500,active
SHP_AIR_01,秦皇岛北戴河机场,airport,76,秦皇岛市昌黎县机场快速路,39.666400,119.058900,active
SHP_RAIL_01,秦皇岛站,railway_station,76,秦皇岛市海港区迎宾路1号,39.930400,119.600000,active
SHP_BUS_01,秦皇岛长途汽车站,bus_station,76,秦皇岛市海港区北环路405号,39.951800,119.586000,active
TYN_AIR_01,太原武宿国际机场,airport,217,太原市小店区太榆路199号,37.746900,112.628900,active
TYN_RAIL_01,太原南站,railway_station,217,太原市小店区太榆路,37.790700,112.613600,active
TYN_BUS_01,太原建南汽车站,bus_station,217,太原市迎泽区建设南路447号,37.847700,112.584300,active
HET_AIR_01,呼和浩特白塔国际机场,airport,347,呼和浩特市赛罕区机场路,40.851400,111.824000,active
HET_RAIL_01,呼和浩特东站,railway_station,347,呼和浩特市新城区车站后街,40.840700,111.765900,active
HET_BUS_01,呼和浩特长途汽车站,bus_station,347,呼和浩特市新城区车站东街,40.829600,111.678500,active
SHE_AIR_01,沈阳桃仙国际机场,airport,463,沈阳市浑南区桃仙街道机场路,41.640900,123.483900,active
SHE_RAIL_01,沈阳北站,railway_station,463,沈阳市沈河区北站路102号,41.817500,123.429500,active
SHE_BUS_01,沈阳快速汽车客运站,bus_station,463,沈阳市沈河区团结路59号,41.811100,123.434800,active
DLC_AIR_01,大连周水子国际机场,airport,477,大连市甘井子区迎客路100号,38.965700,121.538600,active
DLC_RAIL_01,大连站,railway_station,477,大连市中山区长江路259号,38.922600,121.631000,active
DLC_BUS_01,大连建设街汽车站,bus_station,477,大连市西岗区建设街36号,38.918800,121.616600,active
CGQ_AIR_01,长春龙嘉国际机场,airport,578,长春市九台区龙嘉街道机场路,43.996200,125.684800,active
CGQ_RAIL_01,长春站,railway_station,578,长春市宽城区人民大街,43.909100,125.323500,active
CGQ_BUS_01,长春凯旋公路客运站,bus_station,578,长春市宽城区凯旋路2785号,43.926700,125.303800,active
HRB_AIR_01,哈尔滨太平国际机场,airport,648,哈尔滨市道里区迎宾一路,45.623400,126.250300,active
HRB_RAIL_01,哈尔滨西站,railway_station,648,哈尔滨市南岗区哈尔滨大街,45.706200,126.572300,active
