scenic_spot_id,status_code,latest_booking_time,rule_payload,created_at,updated_at
1,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-10 11:00:00,2025-03-11 21:00:00
2,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-11 11:00:00,2025-03-11 21:10:00
3,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-12 11:00:00,2025-03-11 21:20:00
4,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-13 11:00:00,2025-03-11 21:30:00
5,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-14 11:00:00,2025-03-11 21:40:00
6,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-15 11:00:00,2025-03-11 21:50:00
7,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-16 11:00:00,2025-03-11 22:00:00
8,active,20:00:00,"{""support_refund"": false, ""refund_rule"": ""non_refundable""}",2024-01-17 11:00:00,2025-03-11 22:10:00
9,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-18 11:00:00,2025-03-11 22:20:00
10,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-19 11:00:00,2025-03-11 22:30:00
11,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-20 11:00:00,2025-03-11 22:40:00
12,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-21 11:00:00,2025-03-11 22:50:00
13,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-22 11:00:00,2025-03-11 23:00:00
14,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-23 11:00:00,2025-03-11 23:10:00
15,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-24 11:00:00,2025-03-11 23:20:00
16,active,20:00:00,"{""support_refund"": false, ""refund_rule"": ""non_refundable""}",2024-01-25 11:00:00,2025-03-11 23:30:00
17,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-26 11:00:00,2025-03-11 23:40:00
18,active,20:00:00,"{""support_refund"": false, ""refund_rule"": ""non_refundable""}",2024-01-27 11:00:00,2025-03-11 23:50:00
19,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-28 11:00:00,2025-03-12 00:00:00
20,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-29 11:00:00,2025-03-12 00:10:00
21,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-30 11:00:00,2025-03-12 00:20:00
22,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-01-31 11:00:00,2025-03-12 00:30:00
23,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-01 11:00:00,2025-03-12 00:40:00
24,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-02 11:00:00,2025-03-12 00:50:00
25,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-03 11:00:00,2025-03-12 01:00:00
26,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-04 11:00:00,2025-03-12 01:10:00
27,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-05 11:00:00,2025-03-12 01:20:00
28,active,17:00:00,"{""support_refund"": false, ""refund_rule"": ""real_name_restriction""}",2024-02-06 11:00:00,2025-03-12 01:30:00
29,active,20:00:00,"{""support_refund"": false, ""refund_rule"": ""non_refundable""}",2024-02-07 11:00:00,2025-03-12 01:40:00
30,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-08 11:00:00,2025-03-12 01:50:00
31,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-09 11:00:00,2025-03-12 02:00:00
32,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-10 11:00:00,2025-03-12 02:10:00
33,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-11 11:00:00,2025-03-12 02:20:00
34,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-12 11:00:00,2025-03-12 02:30:00
35,active,20:00:00,"{""support_refund"": false, ""refund_rule"": ""non_refundable""}",2024-02-13 11:00:00,2025-03-12 02:40:00
36,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-14 11:00:00,2025-03-12 02:50:00
37,active,20:00:00,"{""support_refund"": false, ""refund_rule"": ""non_refundable""}",2024-02-15 11:00:00,2025-03-12 03:00:00
38,active,17:30:00,"{""support_refund"": false, ""refund_rule"": ""real_name_restriction""}",2024-02-16 11:00:00,2025-03-12 03:10:00
39,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-17 11:00:00,2025-03-12 03:20:00
40,active,23:30:00,"{""support_refund"": true, ""refund_rule"": ""T-1 free""}",2024-02-18 11:00:00,2025-03-12 03:30:00
