promotion_id,product_type_code,target_id,status_code,created_at,updated_at
1,hotel_room,1,active,2025-01-01 10:00:00,2025-03-16 12:00:00
1,hotel_room,2,active,2025-01-01 10:10:00,2025-03-16 12:10:00
1,hotel_room,41,active,2025-01-01 10:20:00,2025-03-16 12:20:00
1,hotel_room,42,active,2025-01-01 10:30:00,2025-03-16 12:30:00
2,scenic_ticket,5,active,2025-06-15 10:00:00,2025-06-15 10:00:00
2,scenic_ticket,6,active,2025-06-15 10:10:00,2025-06-15 10:10:00
2,scenic_ticket,41,active,2025-06-15 10:20:00,2025-06-15 10:20:00
2,scenic_ticket,42,active,2025-06-15 10:30:00,2025-06-15 10:30:00
3,transfer_service,1,active,2025-01-02 10:00:00,2025-03-16 12:40:00
3,transfer_service,15,active,2025-01-02 10:10:00,2025-03-16 12:50:00
3,transfer_service,20,active,2025-01-02 10:20:00,2025-03-16 13:00:00
4,hotel_room,57,active,2025-03-01 10:00:00,2025-03-16 13:10:00
4,hotel_room,58,active,2025-03-01 10:10:00,2025-03-16 13:20:00
4,hotel_room,75,active,2025-03-01 10:20:00,2025-03-16 13:30:00
4,hotel_room,76,active,2025-03-01 10:30:00,2025-03-16 13:40:00
5,scenic_ticket,35,active,2025-01-05 10:00:00,2025-03-16 13:50:00
5,scenic_ticket,36,active,2025-01-05 10:10:00,2025-03-16 14:00:00
5,scenic_ticket,57,active,2025-01-05 10:20:00,2025-03-16 14:10:00
5,scenic_ticket,58,active,2025-01-05 10:30:00,2025-03-16 14:20:00
6,hotel_room,31,active,2025-06-01 10:00:00,2025-06-01 10:00:00
6,hotel_room,32,active,2025-06-01 10:10:00,2025-06-01 10:10:00
6,hotel_room,69,active,2025-06-01 10:20:00,2025-06-01 10:20:00
6,hotel_room,70,active,2025-06-01 10:30:00,2025-06-01 10:30:00
7,train_seat,1,active,2025-01-06 10:00:00,2025-03-16 14:30:00
7,train_seat,2,active,2025-01-06 10:10:00,2025-03-16 14:40:00
7,train_seat,3,active,2025-01-06 10:20:00,2025-03-16 14:50:00
8,scenic_ticket,11,active,2025-06-15 10:00:00,2025-06-15 10:00:00
8,scenic_ticket,12,active,2025-06-15 10:10:00,2025-06-15 10:10:00
8,scenic_ticket,37,active,2025-06-15 10:20:00,2025-06-15 10:20:00
8,scenic_ticket,38,active,2025-06-15 10:30:00,2025-06-15 10:30:00
9,transfer_service,3,active,2025-01-07 10:00:00,2025-03-16 15:00:00
9,transfer_service,17,active,2025-01-07 10:10:00,2025-03-16 15:10:00
9,transfer_service,23,active,2025-01-07 10:20:00,2025-03-16 15:20:00
10,scenic_ticket,55,active,2025-01-08 10:00:00,2025-03-16 15:30:00
10,scenic_ticket,56,active,2025-01-08 10:10:00,2025-03-16 15:40:00
10,scenic_ticket,75,active,2025-01-08 10:20:00,2025-03-16 15:50:00
10,scenic_ticket,76,active,2025-01-08 10:30:00,2025-03-16 16:00:00
