route_code,route_name,supplier_id,departure_hub_id,arrival_hub_id,departure_area_id,arrival_area_id,duration_minutes,status_code,created_at,updated_at
BUSREAL0001,北京-天津城际客运快线,1,6,12,2,20,120,active,2024-01-15 07:00:00,2025-03-03 10:00:00
BUSREAL0002,北京-石家庄省际客运班线,1,8,16,2,38,180,active,2024-01-15 07:10:00,2025-03-03 10:10:00
BUSREAL0003,石家庄-太原高速客运专线,4,16,22,38,217,185,active,2024-01-16 07:00:00,2025-03-03 10:20:00
BUSREAL0004,沈阳-大连城际客运班线,5,28,31,463,477,240,active,2024-01-16 07:10:00,2025-03-03 10:30:00
BUSREAL0005,长春-哈尔滨城际客运班线,7,34,37,578,648,240,active,2024-01-17 07:00:00,2025-03-03 10:40:00
BUSREAL0006,上海-南京高速客运快线,9,44,50,786,804,240,active,2024-01-17 07:10:00,2025-03-03 10:50:00
BUSREAL0007,上海-杭州城际客运快线,9,45,55,786,915,180,active,2024-01-18 07:00:00,2025-03-03 11:00:00
BUSREAL0008,杭州-宁波城际客运快线,12,55,58,915,929,160,active,2024-01-18 07:10:00,2025-03-03 11:10:00
BUSREAL0009,南京-合肥高速客运专线,11,50,61,804,1019,150,active,2024-01-19 07:00:00,2025-03-03 11:20:00
BUSREAL0010,福州-厦门高速客运班线,29,64,67,1140,1154,180,active,2024-01-19 07:10:00,2025-03-03 11:30:00
BUSREAL0011,南昌-武汉城际客运班线,17,70,85,1223,1668,300,active,2024-01-20 07:00:00,2025-03-03 11:40:00
BUSREAL0012,济南-青岛高速客运班线,14,73,76,1335,1348,220,active,2024-01-20 07:10:00,2025-03-03 11:50:00
BUSREAL0013,郑州-洛阳城际客运快线,16,79,82,1491,1514,120,active,2024-01-21 07:00:00,2025-03-03 12:00:00
BUSREAL0014,武汉-长沙高速客运专线,17,85,88,1668,1785,210,active,2024-01-21 07:10:00,2025-03-03 12:10:00
BUSREAL0015,广州-深圳城际客运快线,19,93,97,1922,1945,150,active,2024-01-22 07:00:00,2025-03-03 12:20:00
BUSREAL0016,广州-南宁省际客运班线,19,92,101,1922,2068,360,active,2024-01-22 07:10:00,2025-03-03 12:30:00
BUSREAL0017,南宁-桂林高速客运专线,23,101,104,2068,2092,300,active,2024-01-23 07:00:00,2025-03-03 12:40:00
BUSREAL0018,海口-三亚环岛客运快线,25,107,110,2192,2197,240,active,2024-01-23 07:10:00,2025-03-03 12:50:00
BUSREAL0019,重庆-成都成渝城际快巴,26,115,120,2238,2278,230,active,2024-01-24 07:00:00,2025-03-03 13:00:00
BUSREAL0020,成都-昆明西南省际客运班线,28,121,127,2278,2574,540,active,2024-01-24 07:10:00,2025-03-03 13:10:00
BUSREAL0021,西安-兰州西北高速客运线,31,135,138,2802,2921,390,active,2024-01-25 07:00:00,2025-03-03 13:20:00
BUSREAL0022,兰州-西宁城际客运专线,32,138,141,2921,3025,180,active,2024-01-25 07:10:00,2025-03-03 13:30:00
BUSREAL0023,银川-西安省际客运班线,32,144,134,3079,2802,420,active,2024-01-26 07:00:00,2025-03-03 13:40:00
BUSREAL0024,乌鲁木齐-兰州长途客运班线,33,147,138,3107,2921,1260,active,2024-01-26 07:10:00,2025-03-03 13:50:00
BUSREAL0025,天津-北京省际客运班线,3,13,6,20,2,130,active,2024-01-27 07:00:00,2025-03-03 14:00:00
BUSREAL0026,秦皇岛-北京旅游客运专线,6,19,8,76,2,240,active,2024-01-27 07:10:00,2025-03-03 14:10:00
BUSREAL0027,太原-呼和浩特跨省客运班线,4,22,25,217,347,300,active,2024-01-28 07:00:00,2025-03-03 14:20:00
BUSREAL0028,宁波-杭州城际客运快线,12,58,55,929,915,150,active,2024-01-28 07:10:00,2025-03-03 14:30:00
BUSREAL0029,合肥-南京省际客运快线,11,61,49,1019,804,150,active,2024-01-29 07:00:00,2025-03-03 14:40:00
BUSREAL0030,厦门-福州高速客运班线,29,67,64,1154,1140,180,active,2024-01-29 07:10:00,2025-03-03 14:50:00
BUSREAL0031,青岛-济南高速客运班线,15,76,73,1348,1335,220,active,2024-01-30 07:00:00,2025-03-03 15:00:00
BUSREAL0032,洛阳-郑州城际客运班线,16,82,79,1514,1491,125,active,2024-01-30 07:10:00,2025-03-03 15:10:00
BUSREAL0033,长沙-武汉高速客运班线,18,88,85,1785,1668,210,active,2024-01-31 07:00:00,2025-03-03 15:20:00
BUSREAL0034,深圳-广州城际客运快线,21,97,92,1945,1922,145,active,2024-01-31 07:10:00,2025-03-03 15:30:00
BUSREAL0035,桂林-南宁旅游客运专线,24,104,101,2092,2068,300,active,2024-02-01 07:00:00,2025-03-03 15:40:00
BUSREAL0036,成都-重庆成渝往返快巴,28,120,114,2278,2238,230,active,2024-02-01 07:10:00,2025-03-03 15:50:00
BUSREAL0037,昆明-贵阳西南客运班线,30,127,124,2574,2476,420,active,2024-02-02 07:00:00,2025-03-03 16:00:00
BUSREAL0038,西宁-兰州城际客运专线,32,141,138,3025,2921,185,active,2024-02-02 07:10:00,2025-03-03 16:10:00
