scenic_code,scenic_name,scenic_type_code,rating_code,area_id,address,latitude,longitude,summary,tag_payload,open_time,close_time,supplier_id,status_code,created_at,updated_at
SCENICREAL0001,故宫博物院,museum,5A,2,北京市东城区景山前街4号,39.916300,116.397200,中国最具代表性的宫廷博物馆景区之一。,"[""culture"", ""history"", ""sightseeing""]",08:30:00,17:00:00,97,active,2024-01-10 09:00:00,2025-03-11 10:00:00
SCENICREAL0002,西柏坡景区,red_tourism,5A,38,河北省石家庄市平山县西柏坡镇,38.343300,113.953100,兼具红色教育与历史参观属性的代表性景区。,"[""history"", ""education"", ""culture""]",08:30:00,17:30:00,98,active,2024-01-11 09:00:00,2025-03-11 10:10:00
SCENICREAL0003,山海关景区,heritage,5A,76,河北省秦皇岛市山海关区关城南路,40.002600,119.773700,长城东端重要关隘，历史文化辨识度极高。,"[""history"", ""sightseeing"", ""culture""]",08:00:00,18:00:00,99,active,2024-01-12 09:00:00,2025-03-11 10:20:00
SCENICREAL0004,晋祠博物馆,museum,4A,217,山西省太原市晋源区晋祠镇,37.709000,112.458800,太原最具代表性的古建与园林文化景区。,"[""culture"", ""history"", ""family""]",08:30:00,17:30:00,100,active,2024-01-13 09:00:00,2025-03-11 10:30:00
SCENICREAL0005,呼和浩特大召历史文化旅游区,religious,4A,347,内蒙古自治区呼和浩特市玉泉区大召前街,40.799600,111.662400,集宗教建筑与地方民族文化于一体的城市景区。,"[""culture"", ""religion"", ""history""]",08:30:00,17:30:00,101,active,2024-01-14 09:00:00,2025-03-11 10:40:00
SCENICREAL0006,老虎滩海洋公园,theme_park,5A,477,辽宁省大连市中山区滨海中路9号,38.873900,121.693300,大连代表性海洋主题景区。,"[""family"", ""theme_park"", ""sightseeing""]",08:30:00,17:30:00,103,active,2024-01-15 09:00:00,2025-03-11 10:50:00
SCENICREAL0007,净月潭国家风景名胜区,forest,5A,578,吉林省长春市南关区净月大街5840号,43.793600,125.460900,长春重要城市生态和森林休闲景区。,"[""forest"", ""family"", ""ecological""]",08:30:00,17:30:00,104,active,2024-01-16 09:00:00,2025-03-11 11:00:00
SCENICREAL0008,哈尔滨冰雪大世界,theme_park,5A,648,黑龙江省哈尔滨市松北区太阳岛西侧,45.802800,126.602600,冬季冰雪主题旅游代表性景区。,"[""snow"", ""theme_park"", ""family""]",10:00:00,21:30:00,105,active,2024-01-17 09:00:00,2025-03-11 11:10:00
SCENICREAL0009,东方明珠广播电视塔,cultural_square,5A,786,上海市浦东新区世纪大道1号,31.239700,121.499800,上海城市地标式观光景区。,"[""city_view"", ""sightseeing"", ""family""]",09:00:00,21:00:00,106,active,2024-01-18 09:00:00,2025-03-11 11:20:00
SCENICREAL0010,中山陵园风景区,heritage,5A,804,江苏省南京市玄武区石象路7号,32.061100,118.848500,南京代表性近代历史文化景区。,"[""history"", ""culture"", ""sightseeing""]",08:30:00,17:00:00,107,active,2024-01-19 09:00:00,2025-03-11 11:30:00
