route_code,train_no,supplier_id,departure_hub_id,arrival_hub_id,departure_area_id,arrival_area_id,duration_minutes,status_code,created_at,updated_at
TRNREAL0001,G1,137,4,42,2,786,318,active,2024-01-15 08:00:00,2025-03-02 10:00:00
TRNREAL0002,G2,140,42,4,786,2,318,active,2024-01-15 08:10:00,2025-03-02 10:10:00
TRNREAL0003,C2001,137,4,10,2,20,33,active,2024-01-16 08:00:00,2025-03-02 10:20:00
TRNREAL0004,C2002,137,10,4,20,2,35,active,2024-01-16 08:10:00,2025-03-02 10:30:00
TRNREAL0005,G79,137,5,132,2,2802,268,active,2024-01-17 08:00:00,2025-03-02 10:40:00
TRNREAL0006,G90,164,132,5,2802,2,275,active,2024-01-17 08:10:00,2025-03-02 10:50:00
TRNREAL0007,G2173,165,78,132,1491,2802,125,active,2024-01-18 08:00:00,2025-03-02 11:00:00
TRNREAL0008,G2201,164,132,118,2802,2278,240,active,2024-01-18 08:10:00,2025-03-02 11:10:00
TRNREAL0009,G87,137,4,27,2,463,165,active,2024-01-19 08:00:00,2025-03-02 11:20:00
TRNREAL0010,G1201,156,27,36,463,648,145,active,2024-01-19 08:10:00,2025-03-02 11:30:00
TRNREAL0011,G7011,140,42,47,786,804,75,active,2024-01-20 08:00:00,2025-03-02 11:40:00
TRNREAL0012,G7315,140,42,52,786,915,58,active,2024-01-20 08:10:00,2025-03-02 11:50:00
TRNREAL0013,G7581,146,52,57,915,929,55,active,2024-01-21 08:00:00,2025-03-02 12:00:00
TRNREAL0014,G1601,143,60,47,1019,804,55,active,2024-01-21 08:10:00,2025-03-02 12:10:00
TRNREAL0015,G1621,151,84,87,1668,1785,70,active,2024-01-22 08:00:00,2025-03-02 12:20:00
TRNREAL0016,G6111,153,91,95,1922,1945,30,active,2024-01-22 08:10:00,2025-03-02 12:30:00
TRNREAL0017,D2245,147,63,66,1140,1154,95,active,2024-01-23 08:00:00,2025-03-02 12:40:00
TRNREAL0018,G2291,160,69,84,1223,1668,130,active,2024-01-23 08:10:00,2025-03-02 12:50:00
TRNREAL0019,G1835,157,72,75,1335,1348,95,active,2024-01-24 08:00:00,2025-03-02 13:00:00
TRNREAL0020,G6671,161,118,112,2278,2238,62,active,2024-01-24 08:10:00,2025-03-02 13:10:00
TRNREAL0021,D2741,162,126,123,2574,2476,120,active,2024-01-25 08:00:00,2025-03-02 13:20:00
TRNREAL0022,Z223,158,129,140,2720,3025,1260,active,2024-01-25 08:10:00,2025-03-02 13:30:00
TRNREAL0023,D2701,159,137,146,2921,3107,720,active,2024-01-26 08:00:00,2025-03-02 13:40:00
TRNREAL0024,G8561,152,87,91,1785,1922,165,active,2024-01-26 08:10:00,2025-03-02 13:50:00
TRNREAL0025,G1903,149,75,4,1348,2,230,active,2024-01-27 08:00:00,2025-03-02 14:00:00
TRNREAL0026,G305,137,4,47,2,804,240,active,2024-01-27 08:10:00,2025-03-02 14:10:00
TRNREAL0027,G39,140,42,72,786,1335,220,active,2024-01-28 08:00:00,2025-03-02 14:20:00
TRNREAL0028,G41,140,42,84,786,1668,270,active,2024-01-28 08:10:00,2025-03-02 14:30:00
TRNREAL0029,G6013,153,91,100,1922,2068,165,active,2024-01-29 08:00:00,2025-03-02 14:40:00
TRNREAL0030,D3565,148,66,69,1154,1223,240,active,2024-01-29 08:10:00,2025-03-02 14:50:00
TRNREAL0031,G1545,151,84,78,1668,1491,125,active,2024-01-30 08:00:00,2025-03-02 15:00:00
TRNREAL0032,G2203,164,133,118,2802,2278,240,active,2024-01-30 08:10:00,2025-03-02 15:10:00
TRNREAL0033,D2681,161,118,126,2278,2574,340,active,2024-01-31 08:00:00,2025-03-02 15:20:00
TRNREAL0034,G2189,165,78,132,1491,2802,130,active,2024-01-31 08:10:00,2025-03-02 15:30:00
TRNREAL0035,G3721,149,75,90,1348,1922,520,active,2024-02-01 08:00:00,2025-03-02 15:40:00
TRNREAL0036,G879,141,21,133,217,2802,210,active,2024-02-01 08:10:00,2025-03-02 15:50:00
TRNREAL0037,D1821,146,52,63,915,1140,215,active,2024-02-02 08:00:00,2025-03-02 16:00:00
