hotel_code,hotel_name,hotel_type_code,star_rating_code,area_id,address,latitude,longitude,summary,facility_payload,check_in_time,check_out_time,contact_phone,supplier_id,status_code,created_at,updated_at
HOTELREAL0001,北京饭店诺金,luxury,5,2,北京市东城区东长安街33号,39.908700,116.410700,位于王府井及天安门核心区域的经典豪华酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,010-65137766,68,active,2024-01-10 10:00:00,2025-03-10 10:00:00
HOTELREAL0002,和平饭店,boutique,5,786,上海市黄浦区南京东路20号,31.240700,121.490600,外滩地标性历史酒店，兼具海派风格与城市景观。,"[""wifi"", ""parking"", ""breakfast"", ""bar"", ""gym""]",14:00:00,12:00:00,021-63216888,70,active,2024-01-11 10:00:00,2025-03-10 10:10:00
HOTELREAL0003,金陵饭店,business,5,804,南京市鼓楼区汉中路2号,32.047600,118.778900,南京老牌高端酒店，商务与城市观光兼顾。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,025-84711888,72,active,2024-01-12 10:00:00,2025-03-10 10:20:00
HOTELREAL0004,杭州开元名都大酒店,business,5,915,杭州市萧山区市心中路818号,30.163900,120.264000,杭州大型城市商务酒店，会议和亲子出行都较适合。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0571-82881888,73,active,2024-01-13 10:00:00,2025-03-10 10:30:00
HOTELREAL0005,白天鹅宾馆,luxury,5,1922,广州市荔湾区沙面南街1号,23.110600,113.244300,沙面岛代表性豪华酒店，珠江景观突出。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,020-81886968,80,active,2024-01-14 10:00:00,2025-03-10 10:40:00
HOTELREAL0006,深圳深铁皇冠假日酒店,business,5,1945,深圳市福田区深南大道9009号,22.540700,114.063600,交通便利的深圳核心商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0755-33181888,82,active,2024-01-15 10:00:00,2025-03-10 10:50:00
HOTELREAL0007,重庆世纪金源大饭店,luxury,5,2238,重庆市江北区建新北路2号,29.575400,106.529800,位于江北嘴商圈的大型城市酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,023-67958888,86,active,2024-01-16 10:00:00,2025-03-10 11:00:00
HOTELREAL0008,成都岷山饭店,boutique,5,2278,成都市锦江区人民南路二段55号,30.653300,104.075500,成都老牌地标酒店，兼顾商务与城市休闲。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,028-85583333,88,active,2024-01-17 10:00:00,2025-03-10 11:10:00
HOTELREAL0009,西安西京国际饭店,business,5,2802,西安市莲湖区西大街135号,34.259400,108.939200,西安城墙核心区附近的高端商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,029-87628888,92,active,2024-01-18 10:00:00,2025-03-10 11:20:00
HOTELREAL0010,山东大厦,business,5,1335,济南市历下区马鞍山路2-1号,36.639100,117.031300,济南成熟会务型酒店，临近千佛山与奥体片区。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0531-82958888,75,active,2024-01-19 10:00:00,2025-03-10 11:30:00
HOTELREAL0011,青岛海景花园大酒店,resort,5,1348,青岛市市南区彰化路2号,36.063300,120.397500,靠近海滨木栈道的滨海度假型酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0532-85875777,76,active,2024-01-20 10:00:00,2025-03-10 11:40:00
HOTELREAL0012,中州国际饭店,business,5,1491,郑州市金水区农业路71号,34.787500,113.680100,郑州核心城区成熟商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,0371-65950000,77,active,2024-01-21 10:00:00,2025-03-10 11:50:00
HOTELREAL0013,武汉光谷凯悦酒店,business,5,1668,武汉市洪山区珞喻路1077号,30.510700,114.408300,光谷片区代表性高端商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,027-51231234,78,active,2024-01-22 10:00:00,2025-03-10 12:00:00
