hotel_id,status_code,hold_until_time,min_stay_nights,max_room_count,rule_payload,created_at,updated_at
1,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-10 12:00:00,2025-03-10 19:00:00
2,active,18:00:00,1,2,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-11 12:00:00,2025-03-10 19:10:00
3,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-12 12:00:00,2025-03-10 19:20:00
4,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-13 12:00:00,2025-03-10 19:30:00
5,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-14 12:00:00,2025-03-10 19:40:00
6,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-15 12:00:00,2025-03-10 19:50:00
7,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-16 12:00:00,2025-03-10 20:00:00
8,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-17 12:00:00,2025-03-10 20:10:00
9,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-18 12:00:00,2025-03-10 20:20:00
10,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-19 12:00:00,2025-03-10 20:30:00
11,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-20 12:00:00,2025-03-10 20:40:00
12,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-21 12:00:00,2025-03-10 20:50:00
13,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-22 12:00:00,2025-03-10 21:00:00
14,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-23 12:00:00,2025-03-10 21:10:00
15,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-24 12:00:00,2025-03-10 21:20:00
16,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-25 12:00:00,2025-03-10 21:30:00
17,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-26 12:00:00,2025-03-10 21:40:00
18,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-27 12:00:00,2025-03-10 21:50:00
19,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-28 12:00:00,2025-03-10 22:00:00
20,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-29 12:00:00,2025-03-10 22:10:00
21,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-30 12:00:00,2025-03-10 22:20:00
22,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-01-31 12:00:00,2025-03-10 22:30:00
23,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-01 12:00:00,2025-03-10 22:40:00
24,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-02 12:00:00,2025-03-10 22:50:00
25,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-03 12:00:00,2025-03-10 23:00:00
26,active,18:00:00,1,2,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-04 12:00:00,2025-03-10 23:10:00
27,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-05 12:00:00,2025-03-10 23:20:00
28,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-06 12:00:00,2025-03-10 23:30:00
29,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-07 12:00:00,2025-03-10 23:40:00
30,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-08 12:00:00,2025-03-10 23:50:00
31,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-09 12:00:00,2025-03-11 00:00:00
32,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-10 12:00:00,2025-03-11 00:10:00
33,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-11 12:00:00,2025-03-11 00:20:00
34,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-12 12:00:00,2025-03-11 00:30:00
35,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-13 12:00:00,2025-03-11 00:40:00
36,active,18:00:00,1,4,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-14 12:00:00,2025-03-11 00:50:00
37,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-15 12:00:00,2025-03-11 01:00:00
38,active,18:00:00,1,3,"{""cancel_before_hours"": 24, ""support_invoice"": true}",2024-02-16 12:00:00,2025-03-11 01:10:00
