supplier_code,supplier_name,supplier_type_code,area_id,contact_name,contact_phone,contact_email,status_code
SUP0001,北京省际客运集团,bus,2,李娜,13800100156,sup0001@example.com,active
SUP0002,北京公联客运站务有限公司,bus,2,盛川,13800100249,sup0002@example.com,active
SUP0003,天津通莎客运有限公司,bus,20,魏然,13800100250,sup0003@example.com,active
SUP0004,石家庄市公路主枢纽客运站务有限公司,bus,38,苏衡,13800100251,sup0004@example.com,active
SUP0005,沈阳客运集团有限公司,bus,463,康宇,13800100252,sup0005@example.com,active
SUP0006,大连交运集团客运有限公司,bus,477,唐骁,13800100253,sup0006@example.com,active
SUP0007,长春公路客运集团有限公司,bus,578,林灿,13800100254,sup0007@example.com,active
SUP0008,哈尔滨交通集团道路客运有限公司,bus,648,彭朗,13800100255,sup0008@example.com,active
SUP0009,上海长途客运南站运营公司,bus,786,王丽,13800100157,sup0009@example.com,active
SUP0010,江苏快鹿汽车运输股份有限公司,bus,804,张伟,13800100158,sup0010@example.com,active
SUP0011,南京公路客运站务有限公司,bus,804,吴婷,13800100165,sup0011@example.com,active
SUP0012,杭州长运运输集团有限公司,bus,915,刘勇,13800100159,sup0012@example.com,active
SUP0013,广东省汽车客运站有限公司,bus,915,郑浩,13800100166,sup0013@example.com,active
SUP0014,济南长途汽车运输有限责任公司,bus,1335,高远,13800100256,sup0014@example.com,active
SUP0015,青岛城运控股交运集团,bus,1348,卢恒,13800100257,sup0015@example.com,active
SUP0016,郑州交运集团客运总站有限公司,bus,1491,卓文,13800100258,sup0016@example.com,active
SUP0017,武汉公路客运集团股份有限公司,bus,1668,申航,13800100259,sup0017@example.com,active
SUP0018,长沙汽车东站运营有限公司,bus,1785,穆尧,13800100260,sup0018@example.com,active
SUP0019,广州公交集团长途汽车运输有限公司,bus,1922,陈静,13800100160,sup0019@example.com,active
SUP0020,成渝高速公路客运有限公司,bus,1922,张涛,13800100167,sup0020@example.com,active
SUP0021,深圳市公路客货运输服务中心,bus,1945,杨帆,13800100161,sup0021@example.com,active
SUP0022,河南公路客运联网售票平台,bus,1945,李明,13800100168,sup0022@example.com,active
SUP0023,南宁运德汽车运输集团有限公司,bus,2068,覃舟,13800100261,sup0023@example.com,active
SUP0024,桂林汽车客运集团有限公司,bus,2092,龙澈,13800100262,sup0024@example.com,active
SUP0025,海口汽车客运总站有限公司,bus,2192,周序,13800100263,sup0025@example.com,active
SUP0026,重庆公路运输集团有限公司,bus,2238,赵军,13800100162,sup0026@example.com,active
SUP0027,山东省交通运输集团客运公司,bus,2238,王磊,13800100169,sup0027@example.com,active
SUP0028,四川汽车运输成都公司,bus,2278,孙强,13800100163,sup0028@example.com,active
SUP0029,福建汽车运输集团有限公司,bus,2278,刘峰,13800100170,sup0029@example.com,active
SUP0030,昆明公交集团长途汽车客运有限公司,bus,2574,章临,13800100264,sup0030@example.com,active
SUP0031,陕西省西安汽车站运营有限公司,bus,2802,周洋,13800100164,sup0031@example.com,active
SUP0032,兰州客运中心有限责任公司,bus,2921,雷澄,13800100265,sup0032@example.com,active
SUP0033,乌鲁木齐市道路旅客运输服务中心,bus,3107,阿里木,13800100266,sup0033@example.com,active
SUP0034,中国国际航空股份有限公司,flight,2,蒋晨,13800100116,sup0034@example.com,active
SUP0035,山东航空股份有限公司,flight,2,王健,13800100123,sup0035@example.com,active
SUP0036,西部航空有限责任公司,flight,2,杨帆,13800100131,sup0036@example.com,active
SUP0037,中国东方航空股份有限公司,flight,786,沈涛,13800100117,sup0037@example.com,active
SUP0038,上海航空有限公司,flight,786,李明,13800100133,sup0038@example.com,active
SUP0039,重庆航空有限责任公司,flight,786,陈琳,13800100136,sup0039@example.com,active
SUP0040,金鹏航空股份有限公司,flight,786,柏舟,13800100234,sup0040@example.com,active
SUP0041,中国联合航空有限公司,flight,804,刘洋,13800100124,sup0041@example.com,active
SUP0042,长龙航空有限公司,flight,804,张璐,13800100132,sup0042@example.com,active
SUP0043,厦门航空有限公司,flight,804,赵磊,13800100137,sup0043@example.com,active
SUP0044,西藏航空有限公司,flight,915,赵峰,13800100125,sup0044@example.com,active
SUP0045,福州航空有限责任公司,flight,1140,顾屿,13800100228,sup0045@example.com,active
SUP0046,江西航空有限公司,flight,1223,陶言,13800100235,sup0046@example.com,active
SUP0047,青岛航空股份有限公司,flight,1348,陆哲,13800100231,sup0047@example.com,active
SUP0048,湖南航空股份有限公司,flight,1785,邱野,13800100233,sup0048@example.com,active
SUP0049,中国南方航空股份有限公司,flight,1922,韩磊,13800100118,sup0049@example.com,active
SUP0050,成都航空有限公司,flight,1922,孙浩,13800100126,sup0050@example.com,active
SUP0051,奥凯航空有限公司,flight,1922,王芳,13800100134,sup0051@example.com,active
SUP0052,九元航空有限公司,flight,1922,罗川,13800100225,sup0052@example.com,active
SUP0053,海南航空控股股份有限公司,flight,1945,杨萌,13800100119,sup0053@example.com,active
SUP0054,华夏航空股份有限公司,flight,1945,周婷,13800100127,sup0054@example.com,active
SUP0055,河北航空有限公司,flight,1945,刘强,13800100135,sup0055@example.com,active
SUP0056,北部湾航空有限责任公司,flight,2068,沈昀,13800100230,sup0056@example.com,active
SUP0057,吉祥航空股份有限公司,flight,2238,朱诺,13800100120,sup0057@example.com,active
SUP0058,天津航空有限责任公司,flight,2238,吴静,13800100128,sup0058@example.com,active
SUP0059,西藏航空重庆分公司,flight,2238,闻泽,13800100232,sup0059@example.com,active
SUP0060,四川航空股份有限公司,flight,2278,张楠,13800100121,sup0060@example.com,active
SUP0061,首都航空有限公司,flight,2278,郑伟,13800100129,sup0061@example.com,active
SUP0062,瑞丽航空有限公司,flight,2574,江澈,13800100226,sup0062@example.com,active
SUP0063,昆明航空有限公司,flight,2574,许航,13800100227,sup0063@example.com,active
SUP0064,红土航空股份有限公司,flight,2574,方野,13800100236,sup0064@example.com,active
SUP0065,春秋航空股份有限公司,flight,2802,李想,13800100122,sup0065@example.com,active
SUP0066,深圳航空有限责任公司,flight,2802,陈晨,13800100130,sup0066@example.com,active
SUP0067,幸福航空有限责任公司,flight,2802,秦峥,13800100229,sup0067@example.com,active
SUP0068,北京首旅酒店集团,hotel,2,张晨,13800138001,sup0068@example.com,active
SUP0069,首旅如家酒店集团,hotel,38,韩松,13800100171,sup0069@example.com,active
SUP0070,锦江国际酒店集团,hotel,786,李诺,13800100102,sup0070@example.com,active
SUP0071,华住酒店集团,hotel,804,王涛,13800100103,sup0071@example.com,active
SUP0072,金陵酒店管理有限公司,hotel,804,顾宁,13800100172,sup0072@example.com,active
SUP0073,开元酒店集团,hotel,915,赵宇,13800100104,sup0073@example.com,active
SUP0074,君澜酒店集团,hotel,915,许岚,13800100173,sup0074@example.com,active
SUP0075,山东蓝海酒店集团,hotel,1335,马骁,13800100179,sup0075@example.com,active
SUP0076,青岛海景花园酒店管理公司,hotel,1348,曹宁,13800100180,sup0076@example.com,active
SUP0077,河南中州国际酒店集团,hotel,1491,谢凡,13800100181,sup0077@example.com,active
SUP0078,武汉联投丽笙酒店管理公司,hotel,1668,谭越,13800100182,sup0078@example.com,active
SUP0079,湖南华天大酒店股份有限公司,hotel,1785,彭真,13800100183,sup0079@example.com,active
SUP0080,岭南酒店集团,hotel,1922,陈洁,13800100105,sup0080@example.com,active
SUP0081,保利酒店管理有限公司,hotel,1922,梁哲,13800100174,sup0081@example.com,active
SUP0082,深圳格兰云天酒店集团,hotel,1945,杨雯,13800100106,sup0082@example.com,active
SUP0083,招商伊敦酒店及公寓管理有限公司,hotel,1945,何清,13800100175,sup0083@example.com,active
SUP0084,广西沃顿国际大酒店管理公司,hotel,2068,莫林,13800100184,sup0084@example.com,active
SUP0085,海南康年皇冠花园酒店管理公司,hotel,2192,唐恺,13800100185,sup0085@example.com,active
SUP0086,重庆世纪金源大饭店管理公司,hotel,2238,吴磊,13800100107,sup0086@example.com,active
SUP0087,重庆两江假日酒店管理公司,hotel,2238,邓凯,13800100176,sup0087@example.com,active
SUP0088,岷山酒店集团,hotel,2278,郑安,13800100108,sup0088@example.com,active
SUP0089,德胧酒店集团,hotel,2278,罗颖,13800100177,sup0089@example.com,active
SUP0090,贵州饭店酒店管理集团,hotel,2476,苏远,13800100186,sup0090@example.com,active
SUP0091,云南海埂酒店管理有限公司,hotel,2574,段宁,13800100187,sup0091@example.com,active
SUP0092,西安旅游酒店管理集团,hotel,2802,冯萌,13800100109,sup0092@example.com,active
SUP0093,西旅万澳酒店管理有限公司,hotel,2802,宋扬,13800100178,sup0093@example.com,active
SUP0094,甘肃阳光大酒店管理公司,hotel,2921,贺川,13800100188,sup0094@example.com,active
SUP0095,宁夏凯宾斯基饭店管理公司,hotel,3079,白璟,13800100189,sup0095@example.com,active
SUP0096,新疆银星大酒店管理有限公司,hotel,3107,安睿,13800100190,sup0096@example.com,active
SUP0097,北京文旅景区运营集团,scenic,2,钱轩,13800100110,sup0097@example.com,active
