route_code,flight_no,airline_code,supplier_id,departure_hub_id,arrival_hub_id,departure_area_id,arrival_area_id,duration_minutes,status_code,created_at,updated_at
FLTREAL0001,CA1501,CA,34,2,38,2,786,130,active,2024-01-15 09:00:00,2025-03-01 10:00:00
FLTREAL0002,MU5101,MU,37,38,2,786,2,135,active,2024-01-15 09:10:00,2025-03-01 10:10:00
FLTREAL0003,CZ3101,CZ,49,89,2,1922,2,190,active,2024-01-16 09:00:00,2025-03-01 10:20:00
FLTREAL0004,CZ3521,CZ,49,2,89,2,1922,185,active,2024-01-16 09:10:00,2025-03-01 10:30:00
FLTREAL0005,ZH9111,ZH,66,94,2,1945,2,190,active,2024-01-17 09:00:00,2025-03-01 10:40:00
FLTREAL0006,ZH9112,ZH,66,2,94,2,1945,185,active,2024-01-17 09:10:00,2025-03-01 10:50:00
FLTREAL0007,3U8881,3U,60,116,38,2278,786,185,active,2024-01-18 09:00:00,2025-03-01 11:00:00
FLTREAL0008,3U8882,3U,60,38,116,786,2278,200,active,2024-01-18 09:10:00,2025-03-01 11:10:00
FLTREAL0009,HO1267,HO,57,51,94,915,1945,125,active,2024-01-19 09:00:00,2025-03-01 11:20:00
FLTREAL0010,HO1268,HO,57,94,51,1945,915,125,active,2024-01-19 09:10:00,2025-03-01 11:30:00
FLTREAL0011,MU2765,MU,37,46,125,804,2574,175,active,2024-01-20 09:00:00,2025-03-01 11:40:00
FLTREAL0012,CZ6459,CZ,49,125,89,2574,1922,145,active,2024-01-20 09:10:00,2025-03-01 11:50:00
FLTREAL0013,FM9451,FM,38,38,89,786,1922,145,active,2024-01-21 09:00:00,2025-03-01 12:00:00
FLTREAL0014,FM9452,FM,38,89,38,1922,786,145,active,2024-01-21 09:10:00,2025-03-01 12:10:00
FLTREAL0015,EU2231,EU,50,116,94,2278,1945,155,active,2024-01-22 09:00:00,2025-03-01 12:20:00
FLTREAL0016,JD5173,JD,61,131,2,2802,2,130,active,2024-01-22 09:10:00,2025-03-01 12:30:00
FLTREAL0017,JD5174,JD,61,2,131,2,2802,140,active,2024-01-23 09:00:00,2025-03-01 12:40:00
FLTREAL0018,SC4721,SC,35,74,51,1348,915,100,active,2024-01-23 09:10:00,2025-03-01 12:50:00
FLTREAL0019,NS3307,NS,55,14,89,38,1922,160,active,2024-01-24 09:00:00,2025-03-01 13:00:00
FLTREAL0020,BK2879,BK,51,9,116,20,2278,175,active,2024-01-24 09:10:00,2025-03-01 13:10:00
FLTREAL0021,TV9871,TV,44,111,128,2238,2720,160,active,2024-01-25 09:00:00,2025-03-01 13:20:00
FLTREAL0022,G54281,G5,54,122,99,2476,2068,80,active,2024-01-25 09:10:00,2025-03-01 13:30:00
FLTREAL0023,9C8851,9C,65,131,38,2802,786,140,active,2024-01-26 09:00:00,2025-03-01 13:40:00
FLTREAL0024,CO3759,CO,42,56,89,929,1922,125,active,2024-01-26 09:10:00,2025-03-01 13:50:00
FLTREAL0025,CA1237,CA,34,2,83,2,1668,125,active,2024-01-27 09:00:00,2025-03-01 14:00:00
FLTREAL0026,MU2451,MU,37,38,77,786,1491,120,active,2024-01-27 09:10:00,2025-03-01 14:10:00
FLTREAL0027,CZ6587,CZ,49,89,131,1922,2802,150,active,2024-01-28 09:00:00,2025-03-01 14:20:00
FLTREAL0028,ZH8943,ZH,66,94,83,1945,1668,110,active,2024-01-28 09:10:00,2025-03-01 14:30:00
FLTREAL0029,3U8745,3U,60,116,125,2278,2574,90,active,2024-01-29 09:00:00,2025-03-01 14:40:00
FLTREAL0030,EU2217,EU,50,117,131,2278,2802,105,active,2024-01-29 09:10:00,2025-03-01 14:50:00
FLTREAL0031,HU7281,HU,53,94,105,1945,2192,95,active,2024-01-30 09:00:00,2025-03-01 15:00:00
FLTREAL0032,CZ6739,CZ,49,89,117,1922,2278,155,active,2024-01-30 09:10:00,2025-03-01 15:10:00
FLTREAL0033,MF8381,FM,43,46,65,804,1154,95,active,2024-01-31 09:00:00,2025-03-01 15:20:00
FLTREAL0034,SC4669,SC,35,74,94,1348,1945,170,active,2024-01-31 09:10:00,2025-03-01 15:30:00
FLTREAL0035,G54623,G5,54,122,117,2476,2278,95,active,2024-02-01 09:00:00,2025-03-01 15:40:00
FLTREAL0036,JD5169,JD,61,131,125,2802,2574,140,active,2024-02-01 09:10:00,2025-03-01 15:50:00
FLTREAL0037,EU9913,EU,62,125,99,2574,2068,110,active,2024-02-02 09:00:00,2025-03-01 16:00:00
FLTREAL0038,KN5817,KN,41,2,46,2,804,125,active,2024-02-02 09:10:00,2025-03-01 16:10:00
