transfer_service_id,pickup_area_id,dropoff_area_id,price_amount,min_price_amount,rule_payload,status_code,created_at,updated_at
1,2,2,220.00,180.00,"[{""type"": ""night_fee"", ""amount"": 30, ""condition"": ""22:00-06:00""}]",active,2024-01-10 10:00:00,2025-03-05 09:00:00
2,2,2,220.00,180.00,"[{""type"": ""night_fee"", ""amount"": 30, ""condition"": ""22:00-06:00""}]",active,2024-01-10 10:10:00,2025-03-05 09:10:00
3,786,786,260.00,210.00,"[{""type"": ""holiday_fee"", ""amount"": 40, ""condition"": ""weekend""}]",active,2024-01-11 10:00:00,2025-03-05 09:20:00
4,786,786,180.00,145.00,"[{""type"": ""night_fee"", ""amount"": 20, ""condition"": ""22:00-06:00""}]",active,2024-01-11 10:10:00,2025-03-05 09:30:00
5,804,804,160.00,130.00,"[{""type"": ""night_fee"", ""amount"": 20, ""condition"": ""22:00-06:00""}]",active,2024-01-12 10:00:00,2025-03-05 09:40:00
6,915,915,180.00,145.00,"[{""type"": ""holiday_fee"", ""amount"": 25, ""condition"": ""weekend""}]",active,2024-01-12 10:10:00,2025-03-05 09:50:00
7,1140,1140,110.00,90.00,[],active,2024-01-13 10:00:00,2025-03-05 10:00:00
8,1154,1154,150.00,120.00,"[{""type"": ""night_fee"", ""amount"": 20, ""condition"": ""22:00-06:00""}]",active,2024-01-13 10:10:00,2025-03-05 10:10:00
9,1223,1223,105.00,85.00,[],active,2024-01-14 10:00:00,2025-03-05 10:20:00
10,1335,1335,420.00,350.00,"[{""type"": ""hourly_overtime"", ""amount"": 80, ""condition"": ""beyond_8_hours""}]",active,2024-01-14 10:10:00,2025-03-05 10:30:00
11,1348,1348,170.00,140.00,"[{""type"": ""holiday_fee"", ""amount"": 30, ""condition"": ""weekend""}]",active,2024-01-15 10:00:00,2025-03-05 10:40:00
12,1491,1491,120.00,95.00,[],active,2024-01-15 10:10:00,2025-03-05 10:50:00
13,1668,1668,165.00,135.00,"[{""type"": ""night_fee"", ""amount"": 25, ""condition"": ""22:00-06:00""}]",active,2024-01-16 10:00:00,2025-03-05 11:00:00
14,1785,1785,460.00,380.00,"[{""type"": ""hourly_overtime"", ""amount"": 80, ""condition"": ""beyond_8_hours""}]",active,2024-01-16 10:10:00,2025-03-05 11:10:00
15,1922,1922,210.00,170.00,"[{""type"": ""holiday_fee"", ""amount"": 35, ""condition"": ""weekend""}]",active,2024-01-17 10:00:00,2025-03-05 11:20:00
16,1922,1922,520.00,430.00,"[{""type"": ""hourly_overtime"", ""amount"": 100, ""condition"": ""beyond_8_hours""}]",active,2024-01-17 10:10:00,2025-03-05 11:30:00
17,1945,1945,190.00,155.00,"[{""type"": ""night_fee"", ""amount"": 25, ""condition"": ""22:00-06:00""}]",active,2024-01-18 10:00:00,2025-03-05 11:40:00
18,2068,2068,135.00,110.00,[],active,2024-01-18 10:10:00,2025-03-05 11:50:00
19,2092,2092,480.00,390.00,"[{""type"": ""hourly_overtime"", ""amount"": 90, ""condition"": ""beyond_8_hours""}]",active,2024-01-19 10:00:00,2025-03-05 12:00:00
20,2238,2238,175.00,145.00,"[{""type"": ""night_fee"", ""amount"": 20, ""condition"": ""22:00-06:00""}]",active,2024-01-19 10:10:00,2025-03-05 12:10:00
21,2278,2278,140.00,115.00,[],active,2024-01-20 10:00:00,2025-03-05 12:20:00
22,2476,2476,430.00,350.00,"[{""type"": ""hourly_overtime"", ""amount"": 70, ""condition"": ""beyond_8_hours""}]",active,2024-01-20 10:10:00,2025-03-05 12:30:00
23,2574,2574,160.00,130.00,"[{""type"": ""holiday_fee"", ""amount"": 25, ""condition"": ""weekend""}]",active,2024-01-21 10:00:00,2025-03-05 12:40:00
24,2802,2802,150.00,120.00,[],active,2024-01-21 10:10:00,2025-03-05 12:50:00
