hotel_id,room_type_code,room_type_name,room_type_category_code,area_size,max_guests,amenity_payload,status_code,created_at,updated_at
1,HOTELREAL0001_DBL_01,大床房,double,38,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""minibar""]",active,2024-01-10 11:00:00,2025-03-10 13:00:00
1,HOTELREAL0001_STE_02,套房,suite,68,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-01-10 11:10:00,2025-03-10 13:10:00
2,HOTELREAL0002_DBL_01,大床房,double,36,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""bathtub""]",active,2024-01-11 11:00:00,2025-03-10 13:20:00
2,HOTELREAL0002_TWN_02,双床房,twin,40,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-11 11:10:00,2025-03-10 13:30:00
3,HOTELREAL0003_DBL_01,大床房,double,32,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-12 11:00:00,2025-03-10 13:40:00
3,HOTELREAL0003_STE_02,套房,suite,60,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""sofa""]",active,2024-01-12 11:10:00,2025-03-10 13:50:00
4,HOTELREAL0004_DBL_01,大床房,double,35,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-13 11:00:00,2025-03-10 14:00:00
4,HOTELREAL0004_FAM_02,家庭房,family,52,4,"[""window"", ""desk"", ""bathroom"", ""tv"", ""extra_bed""]",active,2024-01-13 11:10:00,2025-03-10 14:10:00
5,HOTELREAL0005_DBL_01,大床房,double,42,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""river_view""]",active,2024-01-14 11:00:00,2025-03-10 14:20:00
5,HOTELREAL0005_STE_02,套房,suite,78,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-01-14 11:10:00,2025-03-10 14:30:00
6,HOTELREAL0006_DBL_01,大床房,double,34,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-15 11:00:00,2025-03-10 14:40:00
6,HOTELREAL0006_TWN_02,双床房,twin,38,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-15 11:10:00,2025-03-10 14:50:00
7,HOTELREAL0007_DBL_01,大床房,double,40,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-16 11:00:00,2025-03-10 15:00:00
7,HOTELREAL0007_STE_02,套房,suite,72,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-01-16 11:10:00,2025-03-10 15:10:00
8,HOTELREAL0008_DBL_01,大床房,double,30,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-17 11:00:00,2025-03-10 15:20:00
8,HOTELREAL0008_TWN_02,双床房,twin,35,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-17 11:10:00,2025-03-10 15:30:00
9,HOTELREAL0009_DBL_01,大床房,double,32,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-18 11:00:00,2025-03-10 15:40:00
9,HOTELREAL0009_TWN_02,双床房,twin,36,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-18 11:10:00,2025-03-10 15:50:00
10,HOTELREAL0010_DBL_01,大床房,double,36,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-19 11:00:00,2025-03-10 16:00:00
10,HOTELREAL0010_SUITE_02,套房,suite,65,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-01-19 11:10:00,2025-03-10 16:10:00
11,HOTELREAL0011_DBL_01,大床房,double,44,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""sea_view""]",active,2024-01-20 11:00:00,2025-03-10 16:20:00
11,HOTELREAL0011_FAM_02,家庭房,family,56,4,"[""window"", ""desk"", ""bathroom"", ""tv"", ""extra_bed""]",active,2024-01-20 11:10:00,2025-03-10 16:30:00
12,HOTELREAL0012_DBL_01,大床房,double,31,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-21 11:00:00,2025-03-10 16:40:00
12,HOTELREAL0012_TWN_02,双床房,twin,34,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-21 11:10:00,2025-03-10 16:50:00
13,HOTELREAL0013_DBL_01,大床房,double,35,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-22 11:00:00,2025-03-10 17:00:00
13,HOTELREAL0013_STE_02,套房,suite,66,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-01-22 11:10:00,2025-03-10 17:10:00
14,HOTELREAL0014_DBL_01,大床房,double,33,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-23 11:00:00,2025-03-10 17:20:00
14,HOTELREAL0014_TWN_02,双床房,twin,36,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-23 11:10:00,2025-03-10 17:30:00
15,HOTELREAL0015_DBL_01,大床房,double,34,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-24 11:00:00,2025-03-10 17:40:00
15,HOTELREAL0015_SUITE_02,套房,suite,62,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-01-24 11:10:00,2025-03-10 17:50:00
16,HOTELREAL0016_DBL_01,大床房,double,40,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""balcony""]",active,2024-01-25 11:00:00,2025-03-10 18:00:00
16,HOTELREAL0016_FAM_02,家庭房,family,54,4,"[""window"", ""desk"", ""bathroom"", ""tv"", ""extra_bed""]",active,2024-01-25 11:10:00,2025-03-10 18:10:00
17,HOTELREAL0017_DBL_01,大床房,double,32,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-26 11:00:00,2025-03-10 18:20:00
17,HOTELREAL0017_TWN_02,双床房,twin,36,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-26 11:10:00,2025-03-10 18:30:00
18,HOTELREAL0018_DBL_01,大床房,double,42,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""lake_view""]",active,2024-01-27 11:00:00,2025-03-10 18:40:00
18,HOTELREAL0018_SUITE_02,套房,suite,70,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-01-27 11:10:00,2025-03-10 18:50:00
19,HOTELREAL0019_DBL_01,大床房,double,34,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-28 11:00:00,2025-03-10 19:00:00
19,HOTELREAL0019_TWN_02,双床房,twin,38,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-28 11:10:00,2025-03-10 19:10:00
20,HOTELREAL0020_DBL_01,大床房,double,36,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-29 11:00:00,2025-03-10 19:20:00
20,HOTELREAL0020_SUITE_02,套房,suite,66,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-01-29 11:10:00,2025-03-10 19:30:00
21,HOTELREAL0021_DBL_01,大床房,double,44,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""balcony""]",active,2024-01-30 11:00:00,2025-03-10 19:40:00
21,HOTELREAL0021_FAM_02,家庭房,family,58,4,"[""window"", ""desk"", ""bathroom"", ""tv"", ""extra_bed""]",active,2024-01-30 11:10:00,2025-03-10 19:50:00
22,HOTELREAL0022_DBL_01,大床房,double,38,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-31 11:00:00,2025-03-10 20:00:00
22,HOTELREAL0022_TWN_02,双床房,twin,40,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-01-31 11:10:00,2025-03-10 20:10:00
23,HOTELREAL0023_DBL_01,大床房,double,40,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-01 11:00:00,2025-03-10 20:20:00
23,HOTELREAL0023_STE_02,套房,suite,72,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-02-01 11:10:00,2025-03-10 20:30:00
24,HOTELREAL0024_DBL_01,大床房,double,35,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-02 11:00:00,2025-03-10 20:40:00
24,HOTELREAL0024_TWN_02,双床房,twin,39,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-02 11:10:00,2025-03-10 20:50:00
25,HOTELREAL0025_DBL_01,大床房,double,30,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-03 11:00:00,2025-03-10 21:00:00
25,HOTELREAL0025_FAM_02,家庭房,family,50,4,"[""window"", ""desk"", ""bathroom"", ""tv"", ""extra_bed""]",active,2024-02-03 11:10:00,2025-03-10 21:10:00
26,HOTELREAL0026_DBL_01,大床房,double,28,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""courtyard""]",active,2024-02-04 11:00:00,2025-03-10 21:20:00
26,HOTELREAL0026_STE_02,套房,suite,55,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""tea_table""]",active,2024-02-04 11:10:00,2025-03-10 21:30:00
27,HOTELREAL0027_DBL_01,大床房,double,33,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-05 11:00:00,2025-03-10 21:40:00
27,HOTELREAL0027_TWN_02,双床房,twin,36,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-05 11:10:00,2025-03-10 21:50:00
28,HOTELREAL0028_DBL_01,大床房,double,38,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-06 11:00:00,2025-03-10 22:00:00
28,HOTELREAL0028_STE_02,套房,suite,68,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-02-06 11:10:00,2025-03-10 22:10:00
29,HOTELREAL0029_DBL_01,大床房,double,32,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-07 11:00:00,2025-03-10 22:20:00
